tweet,sent
I went to hot power yoga and I loved it. MUCH better than Bikram to me. Power Good. Hot Good. Sweat Good. What's not to love? stinky,1
" Lol, well I considered posting something normal, but since when have I been normal.",-1
Google Traffic Pump Pro System.: How To Get Targeted Leads And Massive Traffic To Any Website In 15 Minutes Or Less! ,0
RT  Welcome!  We have 4 inches in New Albany and still coming down.,0
It saddens my heart 2 C women with black eyes! :(,-1
"?aaaaaaah , e aparece a  no clipe :B *-* ( live on ",0
I cant feel my feet.. that cant be good..,-1
RT  ??????????????RT  ????????????RT  ?????Xperia?????????????30?? ,0
" i hope so dude hahaha <3. So, which subject do you have right now? xx",1
"He's been ranting about this for years RT  finally blogged ""Business is Conducted by People, not Users"" ",-1
"Questions galore in my heart i try to sleep. a little hurt, a little lonely,a little confused,a little in love, a little smooth,a li'l rough",0
"RT  Happy Birthday to Carole King b.1942, Carmen Miranda 1909,",1
:-) RT  Keith Hernandez and Daniel Murphy already have begun working out together in Port St. Lucie. Mets,0
going to get jubby's valentines day gift with some assistance from lee and shane:) finally got my car registered:) work monday-friday 12-4 ?,1
About to spend the next couple of hours of my life working for the man,-1
RT  I should of threw my self on the floor and screamed (bro u would be gettin a fat check if u had done dat),-1
need to find a red all lace see thru dress (like my black one)for my friend brian goins red && black birthday party this weekend;;His GIFT!,1
 Well deserved. Seems emblematic of a new BBC confidence unashamedly to produce docs that are pitched at more advanced level.,1
" yea, that's y I'm not supposed to use it, they wanna attribute all the results to the mouthwash, without chewing gum to help it.",-1
"RT  The Helping Haiti charity single for ""Everybody Hurts"" is available for download at ",0
 How DARE YOU I am now* your darklordwaffle PIMP now hoe work that corner *pimp slaps*,-1
Well on the bright side if the conservatives win the general elections the scots can stop leeching from the english purse!,0
Learning about water heaters - ah the joys of home ownership - and still being single : ),1
"Personal Branding Is All About How You Execute The Brand | Jupdi Blogs: Like many people possibly think, personal ... ",0
  - makeupkase,0
2 cans of full fat coke and im bouncing round the place.,1
My Business is Free to Join and makes me $12000 a month ,0
RT  And so the rain begins here in Studio City... ,0
Turns out I got the dates mixed up.. Match is tomorrow so off to bed peeps... C ya all at 4... Gnite n sweet dreams,0
PORN!?! Shit WONT be E Z my G! Trust me i TRIED! RT  I think I know what I am giving up for Lent...it won'... ,-1
"""i wanna be the minority, i dont need your authority, down with the moral majority""",0
i'm so super duper excitied right now cuz' i'm gonna watch Harry Potter !,1
 hey! going to see you in dundrum on friday:) i was talking to ur mam(my teacher) today:) NO SCHOL because im going to you:)x,1
"every body check out yung purp on myspace @ rod-kush and yung purp muzik page hit single ""put me in ya research"" ",0
Leadership and learning are indispensable to each other. -John F. Kennedy,0
[BlogNetNewsHR] Bearing Drift: Randy Forbes: Name that salary cut: Number of comments: 1Congressman Randy Forbes ... ,0
"RT  ""I lift my eyes up to You, to You whose throne is in heaven."" Ps. 123:1... <3 // Love it. And the maker of heaven & earth :)",1
YouTube - State of the Union - American IDLE ,0
How to Succeed in the Age of Going Solo? A great article for everyone to read in the WSJ. ,1
" hahah YAYYY!! we miss you so much, even moby! xP haha ya we have to find joe bahah :D",0
RT  ?! ???? 750??? ,0
 what disneyworld commercial? he's the saints qb and is sooo cute :),1
Las year I was so stressed out I forgot I was my birthday. Didn't figure it out til 730 that night. My bad.,-1
ah twitter. oh ive missed updating you from my phone. its all over now and dont worry. back in action !,0
Free Guide: Getting Your Law Firm Videos Found On YouTube ,0
" Devote yourself to prayer, being watchful and thankful. Very good verse & a great way 2 start a day! Have a fun day in PC!",1
Just back from a walk with the doggies. Got caught in a hail storm - hailstones really sting when they're lashing down on your face!,-1
to better understand me lol -> RT  i'm going back to school@ doing a free 5 week automotive course! :),1
Auto Insert XML-Feed in Joomla EZ-Realty by chadutz: Means we need an RSS-feed-reader component that auto inserts ... ,0
" And Simon Peter answered and said, Thou art the Christ, the Son of the living God. Matthew 16:16 Jesus Loves you",1
Bored with waiting for the iPad to come out so I've made my own out of a journos pad and some spray mount ,-1
So I have come to the conclusions that there's bitches who dnt like me on here bt follow wtf I gotta say!,-1
Rock onRT  BillZucker: I LOVE      (cont) ,1
RT  Who wants to laugh? ,1
"my clothes smell like weed, vomit and chicken. and i didnt smoke. nor vomit. and most unfortunately didn't eat chicken. nice -_-",-1
"It took 2 hours rummaging through my receipt drawer only to learn I?d lost the receipt, isn?t there a better way? ",-1
 Conferences have NEVER made me wish to have a child. EVER. What are you drinking @ said cons??,-1
I favorited a YouTube video -- Zooey Deschanel in Weeds ,1
 The tweep most like you is  Others are  and  Full list at ,0
 ugh... if i have too much of the gogo juice i get a bad stomach ache,-1
"Urgh i'm soo bored and tired. text. call, anything. hmm i must find things to multi task on now!",-1
"Guayadeque - Nice music player | Ubuntu Geek: Music Player with the aims to be intuitive, easy to use and fast eve... ",1
 wahooooo! The ho-ness has been a bit too thin on the ground today! x,1
Headed to human resources class. Now I know why Michael hates Toby so much.,-1
 What do you call a fish with no eyes?,0
"listening ""All These Things That I've Done - The Killers""",0
RT  Getting Access to Health Care for People with Physical Disabilities: ,0
I love P2P but was worried about ISPs keeping my logs. With YourPrivateVPN I don't have to worry anymore. ,1
Best of Personal Finance Roundup: What You Need to Know About Social Security ,0
The  starring of E of  ?SPINdustry? it creates special concerning the world of Im Exec PR! Sunday February 21...,0
Bab Girls Club was FunnY ass ShyT can't wait Til the reuion shw,1
RT  Don't forget to watch the FalloutNewVegas teaser & RT for a chance to win a signed FNV poster  Must be 18+,1
my moms a retard for reading my texts and thinking my most recent tweet was inapproprate,-1
Playgirl print magazine cover to feature teenage dad of Sarah Palin's grandson - The Canadian Press ,0
,0
RT  Inflated tweet count fix should be ready by tomorrow! ,0
RT  Super Nanny takes on violent videogames: The childcare expert conclusively proves that playing shooters makes kids... ,0
RT  i swearfolawd that betta be your navel and not your dick< and i swearfolawd the pussy better be better than the head...lmao,0
N'Gog had a difficult game playing against Vermalen and Gallas. Still think he is better as an impact sub than a starter,0
Woodstoves MAde Easy at ,0
RT  Retirement: Don't Run Out of Money Before You Run Out of Time  finances boomer retirement,-1
So I missed BGC again this wk...can some tell me wht happened,-1
"Everyone says to give up on you, but they don't see you like I do.",-1
" yep, sumtimes beatings or spankings ultimately lead the child 2 b more rebellious...not me tho, my momz hitz were effective lol.",-1
"After these shows I'm callin it a early nite, been up early and already gettin sleepy!!",-1
Gamepocalypse Ep.1 records tonight - send us your questions and vote on what Sean will play next! - ,0
" Oh, well the Stadium of Fire thing I was talking about is in Utah...",0
 No beer for me today either. But I am enjoying the 2008 Odonata Grenache.,1
Free: Star Bucks Gift Card ,1
Atlanta Nightclub VIP Tables and Bottle Service | My Favorite Sin ,0
o_O thefuck?? RT  Pull out bruh RT   lol! Let me stop messin wit u before u get preg over twitter.,0
"Landed in MIN on time. No turbulence, delays, or bickering so far. Must find AC for puter to watch last Mon's ""24"" or my trip will be ruined",0
" wait. ""goodnight sweet dreams"" doesn't mean just friends? And sorry bout the 'tide. I didn't feel so well",0
RT  So GOOGLE BUZZ is a hot topic Look at the OFFICAL GOOGLE [Video] -  and you will LOVE it GO GOOGLE,1
 guess whats driving on the way to my house =),1
"and Verizon to reduce the fees they charge for their airtime, and now if they're successful w/their high speed effort, they'll create the",1
 I got one more song to finish :) then I will send it,1
RT  RT+1 This needs an awareness ,0
"RT Sorry i've been quiet on the tweetside, i'm just really into  right now ( << its addictive.",-1
just watched 10 minutes of house of payne cause I didnt want to get up and look for the remote.,-1
"Having English class now, we're doing profiles to ning.com, not so different from my freetime :D",1
 hey thats a good news. what is the name of that film.,1
"I just fell asleep, at the most, three and a half hours ago. Why the bitch am I awake?",-1
nowplaying Cyborg ? P-Model  in iPod app via ,0
"Thanks again to Ken for this RT  Now on FRED:  interview w/ James Cameron, Emperor of Everything... ",1
 ESPN names Gators OC/Asst Head Coach Steve Addazio National NCAA Sports ,0
(3) AdilityDeal.com Coupons Deals. | Internet Coupons and Discounts: As a high school student working at a local pizza pub in Jefferso...,0
"A Photo Editor - Ad Agency Guide To Photography Usage Terms: As with photography, when negotiating with talent the... ",0
"RT  I just entered the competition to win a Samsung laptop. To enter, follow  & RT ",1
RT  Cool photo spread and interview in Wanted Magazine. Photos  Interview ,1
css Modify web template by jamesallwood: Hi. I have a css static template from templatemonster that I need some m... ,0
Today in History: 1971 Satchel Paige becomes 1st negro-league player elected to Baseball Hall of Fame. (via  (via ,1
PANTS ON THE GROUND...CAUSE YOU WASTED @ SCOTTS..3100 fountain view ON RICHMOND STRIP...(((ALL-STAR OFFICIAL)))PARTY FOR THURSDAY,0
RT  If you can't lick or stick then I must tell you itaintthatgoodman so introduce me to your best friend<,-1
"Currently part of a Buzz whose sole purpose seems to be figuring out how to prevent Scoble from being a ""Buzz kill"" (lol)",0
 pssshh yal bugging I never shovel snow a day in my life!!! Lol,-1
Today has been INSANE(ly good). So excited for my colleagues who have done so much great work deserving of natl recognition. NPLAN PHLP,1
" I'm shocked, nay appalled, to hear that you are regularly communicating with your constituents. And caught on tape! ^",-1
" thanks, we hope you enjoy it and welcome your input on what you'd like to see!",1
Whether you like me or not i would like to take this time out of my day and let yall know i love yall,1
 lol tell him i got a bottle of graduates banana flava waitin for him lmao,1
"""Society may tolerate you, acquaintances may accept you, but friends understand you."" quote",1
It appears that you have everything under control and your pos... More for Leo ,1
 Oh okay..So thats how you do?..LOL..Copy and Paste like that...LOL,1
Home after Lucia's and Key skills this morning; had to attend due to a guest speaker talking about Uni - got me even more excited! Eeee :D,1
"i haven't watched the newest episode of LOST yet, but i do have 5555 miles on my car. so there!",0
"RT  To all my new & old friends: I know I'm behind on my THANKS 4 follows, retweets, FF's, etc. 4give the lapse. I do love ya!",1
RT  Mervyn King says he can't think of any reason why the UK would lose it's AAA rating - now will George Osborne shut up?,-1
"hey ive just made my twitter, how do you talk to people on heree?",0
 satria dong sa ! Si dika mah geleh ah hahahah ,1
Farmville Players Send 220 Million Valentine's Day Virtual Gifts ...: Whenever I discuss virtual goods and the Fac... ,0
And obviously not forgetting the fact I'm gonna feel 122356325x worse :| Oh well...,-1
"formspring.me - what would you like for valentine?s day? yummy truffles, stargazer lillies, a donation to... ",1
Bob Dylan ? Lenny Bruce ,0
Eh dia bos loh bdnny kok bau panas(?) yh?msh pagi loh ini ,0
RT  Demi Lovato Writing New Song With Nick Jonas ,0
 that's the only game you have?,-1
Even When Shit Get Hard - Im Going To - Make Sure That Im Around To Hold You [ DOWN ] - I`ll Never Leave Ya Side Until Tha Day I Die .,1
" A+, would lol again.",1
to find actors of close age.. to get the book's description.. just like when they got daniel radcliffe for harry potter.. CONT'D,0
"why do Hong Kong people like to have their air cons on SUPERCOLD!?!?! man, i need some socks or something!!!!",-1
RT  Check out  on IT'S MY TIME and VOTE for us :) ,1
 what happened to snow at 6 pm? ,-1
"Thank you  for rewarding me for my crazy day. The guy at Subway gave me a free cookie, but this is muuuuch better!",1
10 absolutely jaw dropping concept car designs ,1
i can feel that theres a growing pimple on my nose :(,-1
Great sunny days with  in the beauty mountains of BC...crew was sending!,1
New blog post: Can Someone Help My Bro And His Angels & Demons Obsession? ,0
 whats that ?? you no me im at work = (,-1
Found some cool free twitter backgrounds @  check it out!! backgrounds twitter,1
LMAO.. I am. But I mean this snow is annoyin RT   how can ur life suck u have me then ur boyfriend..btw u still with him>?,0
"Self defense is a state of mind, it involves every aspect of our lives, our physical, mental and emotional safety.",0
 for sme reason my eyes burn too idk,-1
Sama2 sayang ? ?  Great wednesday ? thanks to    et all to be the part of my superb day :),1
RT  ii am leaveinq ; n imma delete my twitter ; n who wants my photoshop? <---ill take it :),-1
"""I pray also that the eyes of your heart may be enlightened in order that you may know the hope to which he has called you..."" Eph1:18",1
RT  avoid-an-audit-6-red-flags-you-should-Know ,-1
"fuel-consumption data indicates weak growth  I First we had rail traffic data: Now we have this and with MSM spin, too",-1
RT  Product Review - Foundation ,0
"The Hollywood Reporter | Heat Vision | Comics | Movie News:Tim ...: Tim Robbins is joining the cast of ""Green Lant... ",0
Pressure mounting at Sunderland: Lorik Cana: Sunderland's winless run extended to 12 games following 1-1 ...  telegraph,-1
 SAMSUNG MOBILE PHONES-THERE IS ONE FOR EVERYONE: South Korea during Samsung Gro...  mobile marketing,0
Makin' birthday macaroons that I shall drizzle with caramel sauce. Oh yeah. I do shit up BIG.,1
"one question, who thinks this is the real  ? ",0
 heh me too actually... tho kannur i still kinda alive cause a close uncle lives there.. had been thr last week for theyyam \m/,1
" Yes, according to the amt you have in your possession. Its always been like that. A Base head (my sis) told me",0
 at wok I just tell people I have eczema lol that I am itching my dry skin. Probs just as bad lol,0
Ground is covered in snow outside but spring is in full bloom in attica's kitchen we are pouring beautiful hyacinth soy candles for the shop,1
 i don't like bein stuck in the house i'd rather go to class,-1
RT  Aerial photographs released of Twin Towers' collapse ,0
 girl bye..yuh kno not...bgc jux came on and tha >otha otha< iznt gonna miss that...do yuh watch it??,1
I am so pissed! me and my boyfriend broke up today! i broke up with him for the recorde!,-1
"RT   Yes. Exhibit A: Olivia Benson in ""Law and Order: SVU"" circa season 7 & 8.",0
" is CSI investigating brakes tampering, or a little nitro in the engine? Gd luck in Nationwide race nascar",-1
UPDATE. :) Dead nanaman ako nito. (doh) Sorry Ate Mona. :'( ,-1
 omfg I cannot believe you just tweeted that? Are you effn serious with me?!,-1
Ninjas got mills$ I just want a couple too... So bad bout to cry? me a 50? juice?... ,-1
 LOL ohh i think i lost someone today realized it wasnt meant to be and hurts,-1
RT  RT   There are people on here just waiting to help..never underestimate twitter warriors 4 Haiti!,1
 once again all the fun is overthere...... we miss you overseas :(,0
"you guys are so stupid, seriously. fighting over people you will NEVER get. HAHA.",-1
"i don't understand. i really don't. this course feels wrong, hospital radio isn't right, and i'm not happy.",-1
ArcelorMittal posts $1.68 billon loss for 2009 ,-1
 LMAO yes it was lol I wasnt gonna put that pic up lol,0
"RT  Where is the, where is the, where is the TOILET TISSUE???? FUCK!!!!!!<~~~it's OK, you've been blessed with 2 hands..pick 1",-1
" but I really not like the spring in Macau, it's too wet!!",-1
DesignerDepot: How iPad Affects the Way we Design Websites?   via ,0
fresh out the shower ; currently watchinq the Steve Wilkos Show.,1
RT  [echo'd]  Follow Tuesday     (cont) ,0
Decidedly not a good day. My bed never looked so welcoming.,0
Jerry Reed ' Blue Moon of Kentucky' ,0
" Darkeness in the shadows of DC. Bethesda, MD has no power for 4 days..snow, 30 inches, unploughed.. is this the new America? RT",-1
 is tonight's  guest at 6pm on 91.3fm and wyep.org,0
I just entered to win a Skooba Design Messenger Bag! Follow  (daily contests) and comment to win ,1
Hot Deal! Me to You Love You ?4 off from H Samuel ,1
is nobody going to join my -we are englsih and dont like english summer's- crew? ;),0
 word I think he a Brooklyn nigga lol,0
 Ur my sheep?? And  Is Lil Bow trash heep lmao owwww,0
 bit of both with a meeting thrown in for good measure. What time you off down the track?,1
"thanks snowmageddon for getting me out of tomorrow's test! you're the best (until shoveling time comes, that is.)",1
Spotted backstage: TED staffers sneaking in to watch The LXD rehearse. A-ma-zing.,0
"RT   Hard Rock? RIP Anna Nicole! freeweezy Get Money, Son! Made a hundo, goin to see fv n the 4seasons live freeweezy",0
RT  My school has an SQL injection bug in their site. Gotta love being a better programmer than the professionals.,1
yawl remember when bobby valentino came out? slow down was the summer jammmmmmmmm,0
i love usher 2! RT  i love Usher like  love Bow Weezy! so damn serious i've been playin his ish ova and ova all day!,1
 First aid isn't possible - you need a fresh start - reanimating a corpse is not first aid.,-1
"WFH until my delivery appears today, then off to Glamourville",0
I hate Lloyds Bank. They want me to phone them up everytime I want to do something. I fact I hate banks in general.,-1
"RT  Dbl check who ur hangin with:: Many ppl think they're wise,, because they're hanging with idiots (who u wit?)",-1
"RT  ""Are You OK?"" I'M CRYING MY EYES OUT DO I LOOK F-ING OK!?! idothat2",-1
Interesting! RT  Free is not a Marketing Tool  interesting post on Make and Meaning,0
Pretty dope funk thing by my boy  => Hands to Hats: ,1
Your relationships are likely to be more satisfying now as lov... More for Pisces ,1
RT  Sade To Take No. 1 On Billboard 200 Next Week  welcomeback sade gfm (via ,0
The possibility of exploring new territory or enrolling in an ... More for Cancer ,0
RT  Fist pumping my small Asian ass off at Bogies with Pauly D! The ladies call me The Predicament. Holla at cha boy Snooki!!!,1
Pizza Hut Looks to Start a Pick Up Line Meme on Twitter  Mashable.com marketing pizzahut,0
Breaking news : British fashion designer McQueen found dead at 40 (AP): AP - His runway shows were often like perf... ,-1
I sound higher pitched in my head.,0
has created a group on FOF for the CO-OPing part of Fans Of Film Channel that will offer the 100% model ,0
Dosage requirements for black seeds (nigella sativa)  nigellaSativa,0
 She picks such great songs to cover too. Her Death Cab cover has me melting right now. I need to learn to play the guitar.,1
"  i say even if u cant sleep over, you should totally hang out =] or sleepover then go to work from there! =]",0
"Me &  got a 500 piece puzzle to put together. Yes, that's how boring we are. BUT it is quite pretty and I can't wait til it's done!",0
" Yes, met them all at Gridlock and for 3 days at NAMM. All of them are very nice and love their fans. The acoustic set- amazing!",1
"RT  RT   the ""Do Lover"" on Valentines Day?!! Can I get a HELL YEAH, people!!!?!!! pumped",1
"Waiting for the 00 to come up and give a push, 11th after 21",0
Bouta leave tysons and head to my herndon salon and get my nails toes wax did hayyyyyyyy =),1
"RT  Twitter Success = sharing, caring, listening, retweeting, humor & being yourself! via ",0
"listening to ""Face Tomorrow - Darkside"" ? ",0
the snow keeps falling here. I will have to shovel again soon .. ,-1
"Kenya: Kenyans, Business, Health, Jobs, Life, Travel, Town, Nairobi, People  via ",0
 Its a very sad loss especially to the fashion industry,-1
  fuck yo room drizzy..errybody thats in there come joint us = ],-1
Thanks for nothing Mr. President: To the Editor:,-1
"Video: luckyshirt: I?m a huge fan of movie scores. Big, dramatic, heart wrenching soundtracks. Thanks for... ",1
  - hurry LobsterJustin...hurry and leave a comment like you do on every other one of Shannon's pics.,0
" You got it.. ""ask me anything""",0
off to a wack place i call school.,-1
WhatsWorseThan dog shit on yo shoe and u track it in yo house,-1
RIP Alexander McQueen. I can't believe this. :(,-1
I favorited a YouTube video -- 12 A Historia de Lilly Braun ,0
The 'Miss Me Yet?' billboard. My answer would be absolutely not. ,-1
New blog post Sylvania 68846 H44GS-100/MDSKSP Mercury Vapor Black Light here: ,0
i'm going to buy vanity fair because the maine's in it. i'm lame.,0
"If he ever sees that I blipped it; He'll know! But, it applies to me too! ? ",-1
"Porsche 911 GT3 RS Hybrid  (via  // me likey. but, they need to pick up the pace on production cars.",1
 Just drink a bottle of bleach and stop bothering people.,-1
Kevin Falness checks in for the Minnesota Wild Post-Post-game show on WCCO!,0
Breaking the news to my students that most of them suck at writing. Today's going to be a good day.,0
RT  petpeeve the belief that material possessions make you better than the next person.,-1
I've had culture shock all my life. Good times.,0
Let the rain fall down :S,0
RT  Man. Utd.: Giggs elbow concern for United ,-1
Watch Samson & Delihja (stop motion i made today!) on Vimeo! ,1
"like how you guys think that my thesis topic is boring. i mean, i already know it is. no need to keep telling me repeatedly.",-1
 lol no you did not and..... why does that not surprise me?,0
"Lmaoooo, anyways, G'morning my tweets; hope your day will be as wonderful as mine!",1
The Story of my Life:)  MNIG,1
"I posted 10 photos on Facebook in the album ""Triathlon/Duathlon/VTT/Trail"" ",0
"Design your own shirts, caps, mugs and more.",0
Apple : Tech Today: Google Jolts Telecom Rivals; Apple Is in TV-Pric - ,-1
Desperate bid to catch flight lands father and son in custody: A desperate bid to catch a? ,-1
RT   Jealous....I need to be having breakfast with u. << All gone :),-1
RT  Dio cancer latest: ,0
 *nods and finishs them the pulls out a cookie* mmm,1
" Yeeea...scuzzin bluzzin im in the cribberzzz, my fault for not seein yur tweet, dylan online rite now.",-1
"Game review: Magic (36-17 ) 107, Bulls (25-26) 87: Chicago, activity their 4th mettlesome in 5 nights, and withou... ",0
" That's so sad! RIP Walt Ratterman.....my heartfelt sympathy to his family, friends and colleagues.",-1
 The Theme is here : ,0
"Jack Nicklaus, Gary Player, Arnold Palmer, Lee Trevino and Greg Norman have more than a couple things...",0
 i was playing with you :( so where do you want to go,-1
"Kasian bgt lu gab:(ckck RT  Wah mampus lu Gab! Hahahahahaha RT  Becaus he's a gay, (cont) ",0
" ah righttt. they're good then, yeah? I've not heard of them. ..you should recommend some songs for me to download. :)",0
bad weather on holiday X( X( have nothing but to sleep in a warm room with a comfortable bad..,-1
thinkin i should wash my hair before i get it done tomorrow... decisions decisions... hmmm,-1
starting to really love When I Look At You by Miley. It's a really sweet song.,1
Cholesterol Linked to Alzheimer?s: Article In NY Times. Bios Life Slim for natural cholesterol reduction ,0
 Hi Lizzy. I know you guys really got a lot of snow. They closed our New York office yesterday at 11:30,-1
i currently have a gay man with an english accent fixing my washing machine. this is awesome.,1
chels303,0
"Charlie Wilson, US politician who secretly funded CIA in Afghanistan, dies ",-1
"All of a sudden I feel incredibly lonely...I blame the cold weather and hormones...and V-day...damnit, where are my pills?",-1
 im recording these songs tryna finish up my mixtape,0
"RT  Alexander McQueen, the rumours are true. Poor boy RIP.",-1
":| I can't wait to move out, just so I can decorate and have a decent looking, tidy, clean house/flat, instead of this shithole.",-1
 Ha - no not yet. But I will! :),0
"Taking time off line to pray for friends, mentors and partners in ministry. Challenging times, need to focus and take faith steps",0
 I think this reply is going to be even longer than our last.,0
"RT  petpeeve ppl being over-affectionate in front of me..its not me hating it just makes me sick!..Ex:""no I luv u snookie bear..ooh yes I do""",-1
Tomorrow my husband is coming to visit. And enjoy our 2 year anniversary.,1
RT  lmao night twiggas & tweeties. *> twiggas and twitches sounds better lol B),0
RT  I'm trying to get people to try a yoga workout for those of you that have never it. It's a great stress reliever and awesome workout..xo,1
Hmm...I need to ask Joe who his groomsmen and best man are. And we need to decide on a date. And our honeymoon. Meh.,-1
Euro MPs block data deal with US: The European Parliament has blocked a key agreement that allows US ...  BreakingNews,0
New blog post NewAppIdea.com Website Podcast Review | Bring Your App Idea To Market! here: ,0
" Hahahaha! If you wanted to be extra bitchy, you could've streamed it via UStream!",-1
"from 11pm tonight, it's Rubbermench with Andy Wilson, an Indie Rock and Pop EXPLOSION! in O2 ABC2, Drinks from ?1!!!! ",0
